資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20260612,000218,1,0,0,0.00
20260612,000218,2,0,0,0.00
20260612,000218,3,0,0,0.00
20260612,000218,4,0,0,0.00
20260612,000218,5,0,0,0.00
20260612,000218,6,0,0,0.00
20260612,000218,7,0,0,0.00
20260612,000218,8,0,0,0.00
20260612,000218,9,0,0,0.00
20260612,000218,10,0,0,0.00
20260612,000218,11,0,0,0.00
20260612,000218,12,0,0,0.00
20260612,000218,13,0,0,0.00
20260612,000218,14,0,0,0.00
20260612,000218,15,1,422278902,100.00
20260612,000218,16,0,0,0.00
20260612,000218,17,1,422278902,100.00
20260612,000560,1,0,0,0.00
20260612,000560,2,0,0,0.00
20260612,000560,3,0,0,0.00
20260612,000560,4,0,0,0.00
20260612,000560,5,0,0,0.00
20260612,000560,6,0,0,0.00
20260612,000560,7,0,0,0.00
20260612,000560,8,0,0,0.00
20260612,000560,9,0,0,0.00
20260612,000560,10,0,0,0.00
20260612,000560,11,0,0,0.00
20260612,000560,12,0,0,0.00
20260612,000560,13,0,0,0.00
20260612,000560,14,0,0,0.00
20260612,000560,15,1,29700000,100.00
20260612,000560,16,0,0,0.00
20260612,000560,17,1,29700000,100.00
20260612,000708,1,0,0,0.00
20260612,000708,2,0,0,0.00
20260612,000708,3,0,0,0.00
20260612,000708,4,0,0,0.00
20260612,000708,5,0,0,0.00
20260612,000708,6,0,0,0.00
20260612,000708,7,0,0,0.00
20260612,000708,8,0,0,0.00
20260612,000708,9,0,0,0.00
20260612,000708,10,0,0,0.00
20260612,000708,11,0,0,0.00
20260612,000708,12,0,0,0.00
20260612,000708,13,0,0,0.00
20260612,000708,14,0,0,0.00
20260612,000708,15,1,20200000,100.00
20260612,000708,16,0,0,0.00
20260612,000708,17,1,20200000,100.00
20260612,000779,1,0,0,0.00
20260612,000779,2,0,0,0.00
20260612,000779,3,0,0,0.00
20260612,000779,4,0,0,0.00
20260612,000779,5,0,0,0.00
20260612,000779,6,0,0,0.00
20260612,000779,7,0,0,0.00
20260612,000779,8,0,0,0.00
20260612,000779,9,0,0,0.00
20260612,000779,10,0,0,0.00
20260612,000779,11,0,0,0.00
20260612,000779,12,0,0,0.00
20260612,000779,13,0,0,0.00
20260612,000779,14,0,0,0.00
20260612,000779,15,1,1150000000,100.00
20260612,000779,16,0,0,0.00
20260612,000779,17,1,1150000000,100.00
20260612,000815,1,0,0,0.00
20260612,000815,2,0,0,0.00
20260612,000815,3,0,0,0.00
20260612,000815,4,0,0,0.00
20260612,000815,5,0,0,0.00
20260612,000815,6,0,0,0.00
20260612,000815,7,0,0,0.00
20260612,000815,8,0,0,0.00
20260612,000815,9,0,0,0.00
20260612,000815,10,0,0,0.00
20260612,000815,11,0,0,0.00
20260612,000815,12,0,0,0.00
20260612,000815,13,0,0,0.00
20260612,000815,14,0,0,0.00
20260612,000815,15,1,2505407068,100.00
20260612,000815,16,0,0,0.00
20260612,000815,17,1,2505407068,100.00
20260612,000856,1,0,0,0.00
20260612,000856,2,0,0,0.00
20260612,000856,3,0,0,0.00
20260612,000856,4,0,0,0.00
20260612,000856,5,0,0,0.00
20260612,000856,6,0,0,0.00
20260612,000856,7,0,0,0.00
20260612,000856,8,0,0,0.00
20260612,000856,9,0,0,0.00
20260612,000856,10,0,0,0.00
20260612,000856,11,0,0,0.00
20260612,000856,12,0,0,0.00
20260612,000856,13,0,0,0.00
20260612,000856,14,0,0,0.00
20260612,000856,15,1,231800000,100.00
20260612,000856,16,0,0,0.00
20260612,000856,17,1,231800000,100.00
20260612,00400A,1,10865,3016234,0.19
20260612,00400A,2,67496,164066902,10.86
20260612,00400A,3,19480,170612731,11.30
20260612,00400A,4,5421,71808228,4.75
20260612,00400A,5,5727,110541950,7.32
20260612,00400A,6,4496,121900083,8.07
20260612,00400A,7,1874,69031005,4.57
20260612,00400A,8,2268,110085765,7.29
20260612,00400A,9,2799,220872984,14.63
20260612,00400A,10,975,145913230,9.66
20260612,00400A,11,307,89041546,5.89
20260612,00400A,12,58,28310896,1.87
20260612,00400A,13,21,14552400,0.96
20260612,00400A,14,17,15779447,1.04
20260612,00400A,15,39,174181599,11.53
20260612,00400A,16,1,75000,0.00
20260612,00400A,17,121843,1509640000,100.00
20260612,00401A,1,1360,327202,0.13
20260612,00401A,2,10320,25051428,10.04
20260612,00401A,3,3151,28463336,11.41
20260612,00401A,4,638,8582355,3.44
20260612,00401A,5,928,18080411,7.24
20260612,00401A,6,647,18032966,7.23
20260612,00401A,7,219,8225000,3.29
20260612,00401A,8,392,19334005,7.75
20260612,00401A,9,423,35211443,14.11
20260612,00401A,10,111,17322000,6.94
20260612,00401A,11,37,10906000,4.37
20260612,00401A,12,11,5230750,2.09
20260612,00401A,13,2,1486000,0.59
20260612,00401A,14,1,1000000,0.40
20260612,00401A,15,13,52142104,20.90
20260612,00401A,16,0,0,0.00
20260612,00401A,17,18253,249395000,100.00
20260612,00402A,1,1518,437914,0.04
20260612,00402A,2,30783,81274470,8.73
20260612,00402A,3,10848,98662960,10.60
20260612,00402A,4,2561,34461095,3.70
20260612,00402A,5,3441,67644311,7.26
20260612,00402A,6,2525,70525697,7.57
20260612,00402A,7,779,29340569,3.15
20260612,00402A,8,1447,71530699,7.68
20260612,00402A,9,1614,137190568,14.74
20260612,00402A,10,536,85807000,9.22
20260612,00402A,11,169,49231000,5.29
20260612,00402A,12,79,40074011,4.30
20260612,00402A,13,16,11545000,1.24
20260612,00402A,14,22,21856000,2.34
20260612,00402A,15,26,131045706,14.08
20260612,00402A,16,0,0,0.00
20260612,00402A,17,56364,930627000,100.00
20260612,00403A,1,58952,17412324,0.10
20260612,00403A,2,554378,1433719244,8.32
20260612,00403A,3,196888,1711585864,9.93
20260612,00403A,4,64520,857362650,4.97
20260612,00403A,5,65884,1269876605,7.36
20260612,00403A,6,53955,1457600320,8.45
20260612,00403A,7,23995,885557103,5.13
20260612,00403A,8,24779,1202344953,6.97
20260612,00403A,9,35200,2731199825,15.85
20260612,00403A,10,13234,1948083397,11.30
20260612,00403A,11,4332,1235109902,7.16
20260612,00403A,12,1106,552106634,3.20
20260612,00403A,13,323,229039148,1.32
20260612,00403A,14,288,272689461,1.58
