資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20260430,000218,1,0,0,0.00
20260430,000218,2,0,0,0.00
20260430,000218,3,0,0,0.00
20260430,000218,4,0,0,0.00
20260430,000218,5,0,0,0.00
20260430,000218,6,0,0,0.00
20260430,000218,7,0,0,0.00
20260430,000218,8,0,0,0.00
20260430,000218,9,0,0,0.00
20260430,000218,10,0,0,0.00
20260430,000218,11,0,0,0.00
20260430,000218,12,0,0,0.00
20260430,000218,13,0,0,0.00
20260430,000218,14,0,0,0.00
20260430,000218,15,1,422278902,100.00
20260430,000218,16,0,0,0.00
20260430,000218,17,1,422278902,100.00
20260430,000560,1,0,0,0.00
20260430,000560,2,0,0,0.00
20260430,000560,3,0,0,0.00
20260430,000560,4,0,0,0.00
20260430,000560,5,0,0,0.00
20260430,000560,6,0,0,0.00
20260430,000560,7,0,0,0.00
20260430,000560,8,0,0,0.00
20260430,000560,9,0,0,0.00
20260430,000560,10,0,0,0.00
20260430,000560,11,0,0,0.00
20260430,000560,12,0,0,0.00
20260430,000560,13,0,0,0.00
20260430,000560,14,0,0,0.00
20260430,000560,15,1,29700000,100.00
20260430,000560,16,0,0,0.00
20260430,000560,17,1,29700000,100.00
20260430,000708,1,0,0,0.00
20260430,000708,2,0,0,0.00
20260430,000708,3,0,0,0.00
20260430,000708,4,0,0,0.00
20260430,000708,5,0,0,0.00
20260430,000708,6,0,0,0.00
20260430,000708,7,0,0,0.00
20260430,000708,8,0,0,0.00
20260430,000708,9,0,0,0.00
20260430,000708,10,0,0,0.00
20260430,000708,11,0,0,0.00
20260430,000708,12,0,0,0.00
20260430,000708,13,0,0,0.00
20260430,000708,14,0,0,0.00
20260430,000708,15,1,20200000,100.00
20260430,000708,16,0,0,0.00
20260430,000708,17,1,20200000,100.00
20260430,000779,1,0,0,0.00
20260430,000779,2,0,0,0.00
20260430,000779,3,0,0,0.00
20260430,000779,4,0,0,0.00
20260430,000779,5,0,0,0.00
20260430,000779,6,0,0,0.00
20260430,000779,7,0,0,0.00
20260430,000779,8,0,0,0.00
20260430,000779,9,0,0,0.00
20260430,000779,10,0,0,0.00
20260430,000779,11,0,0,0.00
20260430,000779,12,0,0,0.00
20260430,000779,13,0,0,0.00
20260430,000779,14,0,0,0.00
20260430,000779,15,1,1150000000,100.00
20260430,000779,16,0,0,0.00
20260430,000779,17,1,1150000000,100.00
20260430,000815,1,0,0,0.00
20260430,000815,2,0,0,0.00
20260430,000815,3,0,0,0.00
20260430,000815,4,0,0,0.00
20260430,000815,5,0,0,0.00
20260430,000815,6,0,0,0.00
20260430,000815,7,0,0,0.00
20260430,000815,8,0,0,0.00
20260430,000815,9,0,0,0.00
20260430,000815,10,0,0,0.00
20260430,000815,11,0,0,0.00
20260430,000815,12,0,0,0.00
20260430,000815,13,0,0,0.00
20260430,000815,14,0,0,0.00
20260430,000815,15,1,2505407068,100.00
20260430,000815,16,0,0,0.00
20260430,000815,17,1,2505407068,100.00
20260430,000856,1,0,0,0.00
20260430,000856,2,0,0,0.00
20260430,000856,3,0,0,0.00
20260430,000856,4,0,0,0.00
20260430,000856,5,0,0,0.00
20260430,000856,6,0,0,0.00
20260430,000856,7,0,0,0.00
20260430,000856,8,0,0,0.00
20260430,000856,9,0,0,0.00
20260430,000856,10,0,0,0.00
20260430,000856,11,0,0,0.00
20260430,000856,12,0,0,0.00
20260430,000856,13,0,0,0.00
20260430,000856,14,0,0,0.00
20260430,000856,15,1,231800000,100.00
20260430,000856,16,0,0,0.00
20260430,000856,17,1,231800000,100.00
20260430,00400A,1,7045,1848191,0.12
20260430,00400A,2,56632,139342509,9.50
20260430,00400A,3,17196,154083010,10.50
20260430,00400A,4,4231,56874207,3.87
20260430,00400A,5,5355,104208705,7.10
20260430,00400A,6,3951,109157942,7.44
20260430,00400A,7,1553,58169544,3.96
20260430,00400A,8,2253,110376659,7.52
20260430,00400A,9,2692,218181985,14.88
20260430,00400A,10,974,148156320,10.10
20260430,00400A,11,336,96593660,6.58
20260430,00400A,12,83,41555160,2.83
20260430,00400A,13,24,16897194,1.15
20260430,00400A,14,19,17876000,1.21
20260430,00400A,15,35,192818914,13.15
20260430,00400A,16,0,0,0.00
20260430,00400A,17,102379,1466140000,100.00
20260430,00401A,1,910,207646,0.07
20260430,00401A,2,9644,23942094,8.75
20260430,00401A,3,3061,28279310,10.34
20260430,00401A,4,594,8041135,2.94
20260430,00401A,5,988,19415626,7.10
20260430,00401A,6,670,18960465,6.93
20260430,00401A,7,205,7694922,2.81
20260430,00401A,8,443,21997000,8.04
20260430,00401A,9,461,39441695,14.42
20260430,00401A,10,133,21534694,7.87
20260430,00401A,11,39,11371000,4.15
20260430,00401A,12,13,6702000,2.45
20260430,00401A,13,0,0,0.00
20260430,00401A,14,5,4711000,1.72
20260430,00401A,15,12,61096413,22.34
20260430,00401A,16,0,0,0.00
20260430,00401A,17,17178,273395000,100.00
20260430,0050  ,1,1133710,328623017,1.78
20260430,0050  ,2,1075061,2457121325,13.33
20260430,0050  ,3,267209,1971836486,10.69
20260430,0050  ,4,106369,1318394554,7.15
20260430,0050  ,5,59926,1061175087,5.75
20260430,0050  ,6,54189,1338177715,7.26
20260430,0050  ,7,26388,925039393,5.01
20260430,0050  ,8,14475,655355641,3.55
20260430,0050  ,9,24299,1671555223,9.07
20260430,0050  ,10,7734,1045498455,5.67
20260430,0050  ,11,2135,571618523,3.10
20260430,0050  ,12,386,186567183,1.01
20260430,0050  ,13,123,84861210,0.46
20260430,0050  ,14,51,46261957,0.25
20260430,0050  ,15,237,4766936199,25.86
20260430,0050  ,16,2,21968,0.00
20260430,0050  ,17,2772292,18429000000,100.00
20260430,0051  ,1,6854,1435606,5.85
20260430,0051  ,2,4302,8479305,34.60
20260430,0051  ,3,456,3337798,13.62
20260430,0051  ,4,136,1684369,6.87
20260430,0051  ,5,69,1242454,5.07
20260430,0051  ,6,44,1127351,4.60
20260430,0051  ,7,18,618916,2.52
20260430,0051  ,8,10,459809,1.87
20260430,0051  ,9,16,1025636,4.18
20260430,0051  ,10,5,626575,2.55
20260430,0051  ,11,2,544903,2.22
20260430,0051  ,12,1,574000,2.34
20260430,0051  ,13,3,2168320,8.85
20260430,0051  ,14,0,0,0.00
20260430,0051  ,15,1,1174958,4.79
20260430,0051  ,16,0,0,0.00
20260430,0051  ,17,11917,24500000,100.00
20260430,0052  ,1,117253,31681617,1.26
20260430,0052  ,2,240647,513235660,20.47
20260430,0052  ,3,47637,371692233,14.82
20260430,0052  ,4,15316,196401730,7.83
