資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20210716,0050,1,188099,39970017,2.85
20210716,0050,2,99760,186633896,13.31
20210716,0050,3,9278,69855060,4.98
20210716,0050,4,2553,32228690,2.29
20210716,0050,5,1346,24367584,1.73
20210716,0050,6,1060,26428041,1.88
20210716,0050,7,441,15498341,1.10
20210716,0050,8,249,11469506,0.81
20210716,0050,9,429,30083857,2.14
20210716,0050,10,158,22242056,1.58
20210716,0050,11,70,19260516,1.37
20210716,0050,12,23,11030708,0.78
20210716,0050,13,9,6499000,0.46
20210716,0050,14,10,9120616,0.65
20210716,0050,15,65,896812112,63.98
20210716,0050,16,0,0,0.00
20210716,0050,17,303550,1401500000,100.00
20210716,0051,1,1113,205464,1.95
20210716,0051,2,1933,3504038,33.37
20210716,0051,3,145,1143406,10.88
20210716,0051,4,42,528174,5.03
20210716,0051,5,30,559073,5.32
20210716,0051,6,15,373150,3.55
20210716,0051,7,10,336688,3.20
20210716,0051,8,4,190000,1.80
20210716,0051,9,8,541000,5.15
20210716,0051,10,5,672000,6.40
20210716,0051,11,2,569007,5.41
20210716,0051,12,1,424000,4.03
20210716,0051,13,2,1454000,13.84
20210716,0051,14,0,0,0.00
20210716,0051,15,0,0,0.00
20210716,0051,16,0,0,0.00
20210716,0051,17,3310,10500000,100.00
20210716,0052,1,10503,2186402,3.90
20210716,0052,2,6247,11376244,20.31
20210716,0052,3,447,3416635,6.10
20210716,0052,4,116,1496164,2.67
20210716,0052,5,53,978704,1.74
20210716,0052,6,38,958004,1.71
20210716,0052,7,13,469655,0.83
20210716,0052,8,7,328000,0.58
20210716,0052,9,16,1132301,2.02
20210716,0052,10,6,778000,1.38
20210716,0052,11,5,1424000,2.54
20210716,0052,12,4,1762408,3.14
20210716,0052,13,1,650483,1.16
20210716,0052,14,2,1619000,2.89
20210716,0052,15,9,27424000,48.97
20210716,0052,16,0,0,0.00
20210716,0052,17,17467,56000000,100.00
20210716,0053,1,363,55924,1.01
20210716,0053,2,781,1477097,26.91
20210716,0053,3,85,727000,13.24
20210716,0053,4,15,198000,3.60
20210716,0053,5,18,349000,6.35
20210716,0053,6,4,102000,1.85
20210716,0053,7,2,72000,1.31
20210716,0053,8,4,199000,3.62
20210716,0053,9,2,115000,2.09
20210716,0053,10,2,305000,5.55
20210716,0053,11,2,693979,12.64
20210716,0053,12,0,0,0.00
20210716,0053,13,0,0,0.00
20210716,0053,14,0,0,0.00
20210716,0053,15,1,1194000,21.75
20210716,0053,16,0,0,0.00
20210716,0053,17,1279,5488000,100.00
20210716,0054,1,220,37075,0.52
20210716,0054,2,668,1338339,18.78
20210716,0054,3,100,855586,12.00
20210716,0054,4,36,488000,6.85
20210716,0054,5,27,522000,7.32
20210716,0054,6,6,147000,2.06
20210716,0054,7,10,376000,5.27
20210716,0054,8,5,239000,3.35
20210716,0054,9,3,246000,3.45
20210716,0054,10,2,264000,3.70
20210716,0054,11,1,314000,4.40
20210716,0054,12,1,440000,6.17
20210716,0054,13,0,0,0.00
20210716,0054,14,0,0,0.00
20210716,0054,15,1,1857000,26.06
20210716,0054,16,0,0,0.00
20210716,0054,17,1080,7124000,100.00
20210716,0055,1,671,154214,0.41
20210716,0055,2,2937,6141697,16.53
20210716,0055,3,478,4047578,10.89
20210716,0055,4,135,1803000,4.85
20210716,0055,5,118,2245114,6.04
20210716,0055,6,74,2014000,5.42
20210716,0055,7,32,1144000,3.07
20210716,0055,8,24,1174000,3.15
20210716,0055,9,33,2359000,6.34
20210716,0055,10,15,2028525,5.45
20210716,0055,11,10,2876000,7.74
20210716,0055,12,2,927872,2.49
20210716,0055,13,2,1268000,3.41
20210716,0055,14,0,0,0.00
20210716,0055,15,4,8971000,24.14
20210716,0055,16,0,0,0.00
20210716,0055,17,4535,37154000,100.00
20210716,0056,1,96159,30259379,1.33
20210716,0056,2,233276,487975813,21.60
20210716,0056,3,36752,287968732,12.74
20210716,0056,4,11601,147880535,6.54
20210716,0056,5,6634,122136370,5.40
20210716,0056,6,5637,143875043,6.36
20210716,0056,7,2527,90313017,3.99
20210716,0056,8,1630,75853333,3.35
20210716,0056,9,2475,175607036,7.77
20210716,0056,10,781,106725684,4.72
