資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20210827,0050,1,204777,45436785,3.34
20210827,0050,2,112503,213182641,15.67
20210827,0050,3,11184,83873087,6.16
20210827,0050,4,3120,39303225,2.88
20210827,0050,5,1621,29192806,2.14
20210827,0050,6,1371,34234877,2.51
20210827,0050,7,569,20025708,1.47
20210827,0050,8,282,12932909,0.95
20210827,0050,9,521,36492002,2.68
20210827,0050,10,182,25248606,1.85
20210827,0050,11,70,19815822,1.45
20210827,0050,12,27,13329185,0.98
20210827,0050,13,7,5098000,0.37
20210827,0050,14,12,10890704,0.80
20210827,0050,15,60,770943643,56.68
20210827,0050,16,0,0,0.00
20210827,0050,17,336306,1360000000,100.00
20210827,0051,1,1349,244276,2.32
20210827,0051,2,2087,3796111,36.15
20210827,0051,3,159,1241072,11.81
20210827,0051,4,43,538174,5.12
20210827,0051,5,34,631178,6.01
20210827,0051,6,18,463154,4.41
20210827,0051,7,11,370035,3.52
20210827,0051,8,4,190000,1.80
20210827,0051,9,8,550000,5.23
20210827,0051,10,5,633000,6.02
20210827,0051,11,0,0,0.00
20210827,0051,12,1,424000,4.03
20210827,0051,13,2,1419000,13.51
20210827,0051,14,0,0,0.00
20210827,0051,15,0,0,0.00
20210827,0051,16,0,0,0.00
20210827,0051,17,3721,10500000,100.00
20210827,0052,1,10234,2262303,4.15
20210827,0052,2,6170,11360846,20.84
20210827,0052,3,473,3621807,6.64
20210827,0052,4,123,1562507,2.86
20210827,0052,5,50,917570,1.68
20210827,0052,6,41,1011843,1.85
20210827,0052,7,14,493948,0.90
20210827,0052,8,7,322000,0.59
20210827,0052,9,16,1112628,2.04
20210827,0052,10,7,883362,1.62
20210827,0052,11,6,1784831,3.27
20210827,0052,12,3,1285000,2.35
20210827,0052,13,2,1351355,2.47
20210827,0052,14,2,1747000,3.20
20210827,0052,15,7,24783000,45.47
20210827,0052,16,0,0,0.00
20210827,0052,17,17155,54500000,100.00
20210827,0053,1,373,58927,1.07
20210827,0053,2,766,1453235,26.48
20210827,0053,3,83,706000,12.86
20210827,0053,4,13,169000,3.07
20210827,0053,5,17,329000,5.99
20210827,0053,6,5,129000,2.35
20210827,0053,7,2,72000,1.31
20210827,0053,8,3,150000,2.73
20210827,0053,9,3,166000,3.02
20210827,0053,10,2,238000,4.33
20210827,0053,11,1,323000,5.88
20210827,0053,12,1,499838,9.10
20210827,0053,13,0,0,0.00
20210827,0053,14,0,0,0.00
20210827,0053,15,1,1194000,21.75
20210827,0053,16,0,0,0.00
20210827,0053,17,1270,5488000,100.00
20210827,0054,1,242,41854,0.63
20210827,0054,2,673,1347094,20.33
20210827,0054,3,96,819052,12.36
20210827,0054,4,37,502000,7.57
20210827,0054,5,23,450000,6.79
20210827,0054,6,7,177000,2.67
20210827,0054,7,9,343000,5.17
20210827,0054,8,5,236000,3.56
20210827,0054,9,4,330000,4.98
20210827,0054,10,2,264000,3.98
20210827,0054,11,1,308000,4.64
20210827,0054,12,0,0,0.00
20210827,0054,13,0,0,0.00
20210827,0054,14,0,0,0.00
20210827,0054,15,1,1806000,27.26
20210827,0054,16,0,0,0.00
20210827,0054,17,1100,6624000,100.00
20210827,0055,1,886,208682,0.58
20210827,0055,2,3208,6580179,18.45
20210827,0055,3,492,4147810,11.63
20210827,0055,4,128,1694000,4.75
20210827,0055,5,116,2200890,6.17
20210827,0055,6,75,2009000,5.63
20210827,0055,7,34,1231000,3.45
20210827,0055,8,23,1108525,3.10
20210827,0055,9,36,2671000,7.49
20210827,0055,10,14,1818000,5.09
20210827,0055,11,9,2532914,7.10
20210827,0055,12,1,504000,1.41
20210827,0055,13,0,0,0.00
20210827,0055,14,0,0,0.00
20210827,0055,15,4,8948000,25.09
20210827,0055,16,0,0,0.00
20210827,0055,17,5026,35654000,100.00
20210827,0056,1,105152,34031357,1.29
20210827,0056,2,268217,567850598,21.66
20210827,0056,3,44585,347842458,13.27
20210827,0056,4,14493,184621467,7.04
20210827,0056,5,8175,150172095,5.73
20210827,0056,6,7129,181484245,6.92
20210827,0056,7,3234,115500177,4.40
20210827,0056,8,2013,93327465,3.56
20210827,0056,9,3159,224116171,8.55
20210827,0056,10,1075,147146316,5.61
20210827,0056,11,337,92983709,3.54
20210827,0056,12,62,30802477,1.17
20210827,0056,13,28,19221300,0.73
20210827,0056,14,11,9756926,0.37
20210827,0056,15,55,432158884,16.49
20210827,0056,16,2,10481645,0.39
20210827,0056,17,457725,2620534000,100.00
20210827,0057,1,91,9125,0.20
20210827,0057,2,66,105554,2.33
20210827,0057,3,4,30000,0.66
20210827,0057,4,4,51000,1.12
20210827,0057,5,3,52000,1.14
20210827,0057,6,1,30000,0.66
20210827,0057,7,1,32000,0.70
20210827,0057,8,0,0,0.00
20210827,0057,9,2,152000,3.35
20210827,0057,10,3,480000,10.60
20210827,0057,11,2,659321,14.56
20210827,0057,12,0,0,0.00
20210827,0057,13,0,0,0.00
20210827,0057,14,0,0,0.00
20210827,0057,15,1,2926000,64.63
20210827,0057,16,0,0,0.00
20210827,0057,17,178,4527000,100.00
20210827,0061,1,516,152318,0.10
20210827,0061,2,4929,11514092,8.21
20210827,0061,3,1169,9795028,6.99
20210827,0061,4,413,5448671,3.88
20210827,0061,5,325,6184340,4.41
20210827,0061,6,275,7234094,5.16
20210827,0061,7,154,5698070,4.06
20210827,0061,8,122,5839000,4.16
20210827,0061,9,206,15306000,10.92
20210827,0061,10,103,14665858,10.46
20210827,0061,11,39,10720000,7.65
20210827,0061,12,18,9077000,6.47
20210827,0061,13,6,4066000,2.90
20210827,0061,14,1,930000,0.66
20210827,0061,15,10,33485529,23.89
20210827,0061,16,0,0,0.00
20210827,0061,17,8286,140116000,100.00
20210827,006201,1,174,27495,0.22
20210827,006201,2,863,1822544,14.64
20210827,006201,3,142,1155117,9.28
20210827,006201,4,35,454989,3.65
20210827,006201,5,26,485000,3.89
20210827,006201,6,16,442001,3.55
20210827,006201,7,7,246992,1.98
20210827,006201,8,4,197000,1.58
