資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20210709,0050,1,189235,40189786,2.89
20210709,0050,2,101929,190573837,13.70
20210709,0050,3,9475,71269048,5.12
20210709,0050,4,2624,33099930,2.38
20210709,0050,5,1368,24760426,1.78
20210709,0050,6,1104,27545999,1.98
20210709,0050,7,438,15346705,1.10
20210709,0050,8,248,11425738,0.82
20210709,0050,9,446,31279526,2.24
20210709,0050,10,155,21726703,1.56
20210709,0050,11,71,19681959,1.41
20210709,0050,12,25,12030265,0.86
20210709,0050,13,7,4971000,0.35
20210709,0050,14,11,9941000,0.71
20210709,0050,15,64,876658078,63.04
20210709,0050,16,0,0,0.00
20210709,0050,17,307200,1390500000,100.00
20210709,0051,1,1090,201769,1.92
20210709,0051,2,1925,3509974,33.42
20210709,0051,3,149,1175001,11.19
20210709,0051,4,42,529174,5.03
20210709,0051,5,29,538868,5.13
20210709,0051,6,15,372150,3.54
20210709,0051,7,10,336688,3.20
20210709,0051,8,4,190000,1.80
20210709,0051,9,8,541000,5.15
20210709,0051,10,5,687000,6.54
20210709,0051,11,2,550376,5.24
20210709,0051,12,1,434000,4.13
20210709,0051,13,2,1434000,13.65
20210709,0051,14,0,0,0.00
20210709,0051,15,0,0,0.00
20210709,0051,16,0,0,0.00
20210709,0051,17,3282,10500000,100.00
20210709,0052,1,10752,2236808,4.06
20210709,0052,2,6530,11970257,21.76
20210709,0052,3,487,3711376,6.74
20210709,0052,4,130,1680527,3.05
20210709,0052,5,57,1052172,1.91
20210709,0052,6,38,960643,1.74
20210709,0052,7,14,509655,0.92
20210709,0052,8,10,473000,0.86
20210709,0052,9,17,1177301,2.14
20210709,0052,10,7,954000,1.73
20210709,0052,11,5,1475000,2.68
20210709,0052,12,3,1285000,2.33
20210709,0052,13,2,1314261,2.38
20210709,0052,14,3,2582000,4.69
20210709,0052,15,7,23618000,42.94
20210709,0052,16,0,0,0.00
20210709,0052,17,18062,55000000,100.00
20210709,0053,1,369,56730,1.03
20210709,0053,2,782,1481353,26.99
20210709,0053,3,87,745000,13.57
20210709,0053,4,14,187000,3.40
20210709,0053,5,18,349000,6.35
20210709,0053,6,4,101000,1.84
20210709,0053,7,2,72000,1.31
20210709,0053,8,4,199000,3.62
20210709,0053,9,2,123000,2.24
20210709,0053,10,1,114000,2.07
20210709,0053,11,3,867917,15.81
20210709,0053,12,0,0,0.00
20210709,0053,13,0,0,0.00
20210709,0053,14,0,0,0.00
20210709,0053,15,1,1192000,21.72
20210709,0053,16,0,0,0.00
20210709,0053,17,1287,5488000,100.00
20210709,0054,1,220,37911,0.53
20210709,0054,2,672,1340503,18.81
20210709,0054,3,101,864586,12.13
20210709,0054,4,36,488000,6.85
20210709,0054,5,27,525000,7.36
