資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20210813,0050,1,199102,43052538,3.21
20210813,0050,2,106709,200736259,14.98
20210813,0050,3,10079,75771021,5.65
20210813,0050,4,2815,35554116,2.65
20210813,0050,5,1472,26607622,1.98
20210813,0050,6,1209,30162647,2.25
20210813,0050,7,481,16880518,1.26
20210813,0050,8,261,11978796,0.89
20210813,0050,9,467,32751981,2.44
20210813,0050,10,164,23105538,1.72
20210813,0050,11,71,19980537,1.49
20210813,0050,12,22,10470420,0.78
20210813,0050,13,8,5685000,0.42
20210813,0050,14,11,10143616,0.75
20210813,0050,15,63,796619391,59.47
20210813,0050,16,0,0,0.00
20210813,0050,17,322934,1339500000,100.00
20210813,0051,1,1192,220502,2.10
20210813,0051,2,1987,3618301,34.46
20210813,0051,3,151,1185278,11.28
20210813,0051,4,41,512174,4.87
20210813,0051,5,32,594760,5.66
20210813,0051,6,20,517150,4.92
20210813,0051,7,10,337858,3.21
20210813,0051,8,3,148000,1.40
20210813,0051,9,8,545000,5.19
20210813,0051,10,5,654000,6.22
20210813,0051,11,1,282977,2.69
20210813,0051,12,1,424000,4.03
20210813,0051,13,2,1460000,13.90
20210813,0051,14,0,0,0.00
20210813,0051,15,0,0,0.00
20210813,0051,16,0,0,0.00
20210813,0051,17,3453,10500000,100.00
20210813,0052,1,10316,2208296,4.05
20210813,0052,2,6164,11285612,20.70
20210813,0052,3,452,3465831,6.35
20210813,0052,4,114,1466892,2.69
20210813,0052,5,55,1015925,1.86
20210813,0052,6,36,904287,1.65
20210813,0052,7,12,430655,0.79
20210813,0052,8,7,330000,0.60
20210813,0052,9,15,1018716,1.86
20210813,0052,10,6,816000,1.49
20210813,0052,11,5,1472000,2.70
20210813,0052,12,5,2396086,4.39
20210813,0052,13,0,0,0.00
20210813,0052,14,3,2563700,4.70
20210813,0052,15,7,25126000,46.10
20210813,0052,16,0,0,0.00
20210813,0052,17,17197,54500000,100.00
20210813,0053,1,369,55841,1.01
20210813,0053,2,774,1463162,26.66
20210813,0053,3,84,719000,13.10
20210813,0053,4,13,171000,3.11
20210813,0053,5,18,346000,6.30
20210813,0053,6,4,102000,1.85
20210813,0053,7,2,72000,1.31
20210813,0053,8,3,150000,2.73
20210813,0053,9,3,164000,2.98
20210813,0053,10,2,264000,4.81
20210813,0053,11,1,321000,5.84
20210813,0053,12,1,468997,8.54
20210813,0053,13,0,0,0.00
20210813,0053,14,0,0,0.00
20210813,0053,15,1,1191000,21.70
20210813,0053,16,0,0,0.00
20210813,0053,17,1275,5488000,100.00
20210813,0054,1,231,39896,0.60
20210813,0054,2,671,1344213,20.29
20210813,0054,3,99,846891,12.78
20210813,0054,4,36,491000,7.41
20210813,0054,5,24,466000,7.03
20210813,0054,6,7,173000,2.61
20210813,0054,7,10,381000,5.75
20210813,0054,8,4,192000,2.89
20210813,0054,9,4,297000,4.48
20210813,0054,10,2,264000,3.98
20210813,0054,11,1,310000,4.67
20210813,0054,12,0,0,0.00
20210813,0054,13,0,0,0.00
20210813,0054,14,0,0,0.00
20210813,0054,15,1,1819000,27.46
20210813,0054,16,0,0,0.00
