資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20210924,0050,1,206454,45726517,3.69
20210924,0050,2,105536,197993025,16.00
20210924,0050,3,9916,74377838,6.01
20210924,0050,4,2689,33829345,2.73
20210924,0050,5,1439,25980561,2.10
20210924,0050,6,1167,28965397,2.34
20210924,0050,7,473,16608216,1.34
20210924,0050,8,241,11065843,0.89
20210924,0050,9,471,33214712,2.68
20210924,0050,10,165,23412749,1.89
20210924,0050,11,71,19837822,1.60
20210924,0050,12,22,10865578,0.87
20210924,0050,13,11,7614616,0.61
20210924,0050,14,11,10237000,0.82
20210924,0050,15,57,697270781,56.36
20210924,0050,16,0,0,0.00
20210924,0050,17,328723,1237000000,100.00
20210924,0051,1,1419,265067,2.52
20210924,0051,2,2049,3712799,35.35
20210924,0051,3,159,1253434,11.93
20210924,0051,4,37,459174,4.37
20210924,0051,5,34,635060,6.04
20210924,0051,6,13,342150,3.25
20210924,0051,7,13,438316,4.17
20210924,0051,8,3,148000,1.40
20210924,0051,9,8,554000,5.27
20210924,0051,10,5,596000,5.67
20210924,0051,11,1,250000,2.38
20210924,0051,12,1,425000,4.04
20210924,0051,13,2,1421000,13.53
20210924,0051,14,0,0,0.00
20210924,0051,15,0,0,0.00
20210924,0051,16,0,0,0.00
20210924,0051,17,3744,10500000,100.00
20210924,0052,1,9809,2209384,4.20
20210924,0052,2,5531,10089825,19.21
20210924,0052,3,410,3124789,5.95
20210924,0052,4,94,1203379,2.29
20210924,0052,5,44,796154,1.51
20210924,0052,6,32,772530,1.47
20210924,0052,7,14,481963,0.91
20210924,0052,8,8,373000,0.71
20210924,0052,9,11,760000,1.44
20210924,0052,10,7,962509,1.83
20210924,0052,11,6,1642000,3.12
20210924,0052,12,5,2111467,4.02
20210924,0052,13,0,0,0.00
20210924,0052,14,2,1665000,3.17
20210924,0052,15,7,26308000,50.11
20210924,0052,16,0,0,0.00
20210924,0052,17,15980,52500000,100.00
20210924,0053,1,378,60020,1.09
20210924,0053,2,735,1396828,25.45
20210924,0053,3,79,679000,12.37
20210924,0053,4,14,184000,3.35
20210924,0053,5,16,309000,5.63
20210924,0053,6,3,82000,1.49
20210924,0053,7,2,72000,1.31
20210924,0053,8,3,150000,2.73
20210924,0053,9,4,234000,4.26
20210924,0053,10,1,114000,2.07
20210924,0053,11,3,1010152,18.40
20210924,0053,12,0,0,0.00
20210924,0053,13,0,0,0.00
20210924,0053,14,0,0,0.00
20210924,0053,15,1,1197000,21.81
20210924,0053,16,0,0,0.00
20210924,0053,17,1239,5488000,100.00
20210924,0054,1,236,42956,0.64
20210924,0054,2,673,1349835,20.37
20210924,0054,3,95,809209,12.21
20210924,0054,4,36,490000,7.39
20210924,0054,5,23,450000,6.79
20210924,0054,6,7,179000,2.70
20210924,0054,7,9,343000,5.17
20210924,0054,8,5,233000,3.51
20210924,0054,9,3,246000,3.71
20210924,0054,10,3,392000,5.91
20210924,0054,11,1,306000,4.61
20210924,0054,12,0,0,0.00
20210924,0054,13,0,0,0.00
20210924,0054,14,0,0,0.00
20210924,0054,15,1,1783000,26.91
20210924,0054,16,0,0,0.00
20210924,0054,17,1092,6624000,100.00
20210924,0055,1,1043,253384,0.71
20210924,0055,2,3359,6894590,19.33
20210924,0055,3,512,4286996,12.02
20210924,0055,4,134,1779000,4.98
20210924,0055,5,124,2347616,6.58
20210924,0055,6,74,1977000,5.54
20210924,0055,7,32,1149000,3.22
20210924,0055,8,23,1112525,3.12
20210924,0055,9,34,2425000,6.80
20210924,0055,10,16,2136116,5.99
20210924,0055,11,6,1708000,4.79
20210924,0055,12,2,962773,2.70
20210924,0055,13,1,709000,1.98
20210924,0055,14,0,0,0.00
20210924,0055,15,3,7913000,22.19
