資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20210806,0050,1,196167,42247843,3.14
20210806,0050,2,106695,200759759,14.93
20210806,0050,3,10123,76172715,5.66
20210806,0050,4,2833,35793755,2.66
20210806,0050,5,1467,26549016,1.97
20210806,0050,6,1219,30392536,2.26
20210806,0050,7,482,16925200,1.25
20210806,0050,8,269,12327167,0.91
20210806,0050,9,475,33180971,2.46
20210806,0050,10,163,22791799,1.69
20210806,0050,11,71,19846537,1.47
20210806,0050,12,23,11017062,0.81
20210806,0050,13,7,5083000,0.37
20210806,0050,14,12,11031616,0.82
20210806,0050,15,63,800381024,59.53
20210806,0050,16,0,0,0.00
20210806,0050,17,320069,1344500000,100.00
20210806,0051,1,1161,216352,2.06
20210806,0051,2,1950,3549561,33.80
20210806,0051,3,150,1173283,11.17
20210806,0051,4,41,515174,4.90
20210806,0051,5,30,559409,5.32
20210806,0051,6,19,494150,4.70
20210806,0051,7,10,336858,3.20
20210806,0051,8,3,148000,1.40
20210806,0051,9,8,541000,5.15
20210806,0051,10,6,788000,7.50
20210806,0051,11,1,296213,2.82
20210806,0051,12,1,423000,4.02
20210806,0051,13,2,1459000,13.89
20210806,0051,14,0,0,0.00
20210806,0051,15,0,0,0.00
20210806,0051,16,0,0,0.00
20210806,0051,17,3382,10500000,100.00
20210806,0052,1,10312,2195456,4.02
20210806,0052,2,6156,11237421,20.61
20210806,0052,3,457,3489204,6.40
20210806,0052,4,112,1447657,2.65
20210806,0052,5,50,924333,1.69
20210806,0052,6,41,1028513,1.88
20210806,0052,7,13,470655,0.86
20210806,0052,8,6,283000,0.51
20210806,0052,9,14,964000,1.76
20210806,0052,10,7,898000,1.64
20210806,0052,11,5,1503000,2.75
20210806,0052,12,4,1764000,3.23
20210806,0052,13,1,632408,1.16
20210806,0052,14,3,2556353,4.69
20210806,0052,15,7,25106000,46.06
20210806,0052,16,0,0,0.00
20210806,0052,17,17188,54500000,100.00
20210806,0053,1,366,54025,0.98
20210806,0053,2,773,1460851,26.61
20210806,0053,3,84,719000,13.10
20210806,0053,4,13,172000,3.13
20210806,0053,5,18,346000,6.30
20210806,0053,6,4,102000,1.85
20210806,0053,7,2,72000,1.31
20210806,0053,8,4,200000,3.64
20210806,0053,9,2,119000,2.16
20210806,0053,10,2,270000,4.91
20210806,0053,11,1,321000,5.84
20210806,0053,12,1,455124,8.29
20210806,0053,13,0,0,0.00
20210806,0053,14,0,0,0.00
20210806,0053,15,1,1197000,21.81
20210806,0053,16,0,0,0.00
20210806,0053,17,1271,5488000,100.00
20210806,0054,1,226,37766,0.57
20210806,0054,2,668,1341496,20.25
20210806,0054,3,99,845738,12.76
20210806,0054,4,36,491000,7.41
20210806,0054,5,24,466000,7.03
20210806,0054,6,6,147000,2.21
20210806,0054,7,10,375000,5.66
20210806,0054,8,6,284000,4.28
20210806,0054,9,3,246000,3.71
20210806,0054,10,2,264000,3.98
20210806,0054,11,1,311000,4.69
20210806,0054,12,0,0,0.00
20210806,0054,13,0,0,0.00
20210806,0054,14,0,0,0.00
20210806,0054,15,1,1815000,27.40
20210806,0054,16,0,0,0.00
20210806,0054,17,1082,6624000,100.00
20210806,0055,1,771,171037,0.46
20210806,0055,2,3125,6456757,17.61
20210806,0055,3,480,4075358,11.11
20210806,0055,4,132,1754321,4.78
20210806,0055,5,116,2201703,6.00
20210806,0055,6,73,1973000,5.38
20210806,0055,7,34,1229000,3.35
20210806,0055,8,24,1163525,3.17
20210806,0055,9,35,2518299,6.87
20210806,0055,10,14,1870000,5.10
20210806,0055,11,10,2826000,7.70
20210806,0055,12,3,1482000,4.04
20210806,0055,13,0,0,0.00
20210806,0055,14,0,0,0.00
20210806,0055,15,4,8933000,24.37
20210806,0055,16,0,0,0.00
20210806,0055,17,4821,36654000,100.00
20210806,0056,1,100468,31834735,1.34
20210806,0056,2,247538,519821547,21.96
20210806,0056,3,39846,311458318,13.16
20210806,0056,4,12609,160689209,6.79
20210806,0056,5,7222,132613853,5.60
20210806,0056,6,6241,159138593,6.72
20210806,0056,7,2816,100642272,4.25
20210806,0056,8,1763,81832399,3.45
20210806,0056,9,2733,194072871,8.20
20210806,0056,10,892,121678452,5.14
20210806,0056,11,307,83375460,3.52
20210806,0056,12,66,32534649,1.37
20210806,0056,13,23,16189913,0.68
20210806,0056,14,15,13601227,0.57
20210806,0056,15,48,408465257,17.26
20210806,0056,16,1,1414755,0.05
20210806,0056,17,422587,2366534000,100.00
20210806,0057,1,85,6125,0.13
20210806,0057,2,65,108554,2.39
20210806,0057,3,4,34000,0.75
20210806,0057,4,4,51000,1.12
20210806,0057,5,3,52000,1.14
20210806,0057,6,1,30000,0.66
20210806,0057,7,1,32000,0.70
20210806,0057,8,0,0,0.00
20210806,0057,9,2,147000,3.24
20210806,0057,10,3,480000,10.60
20210806,0057,11,2,664321,14.67
20210806,0057,12,0,0,0.00
20210806,0057,13,0,0,0.00
20210806,0057,14,0,0,0.00
20210806,0057,15,1,2922000,64.54
20210806,0057,16,0,0,0.00
20210806,0057,17,171,4527000,100.00
20210806,0061,1,518,155637,0.10
20210806,0061,2,4999,11655079,8.20
20210806,0061,3,1187,9946387,6.99
20210806,0061,4,426,5603702,3.94
20210806,0061,5,341,6489571,4.56
20210806,0061,6,281,7394262,5.20
20210806,0061,7,154,5712070,4.01
20210806,0061,8,127,6046000,4.25
20210806,0061,9,207,15429000,10.85
20210806,0061,10,105,14746219,10.37
20210806,0061,11,40,10948000,7.70
20210806,0061,12,18,9142000,6.43
20210806,0061,13,6,4076000,2.86
20210806,0061,14,1,930000,0.65
20210806,0061,15,10,33842073,23.81
20210806,0061,16,0,0,0.00
20210806,0061,17,8420,142116000,100.00
20210806,006201,1,163,28724,0.24
20210806,006201,2,815,1698949,14.22
20210806,006201,3,136,1114368,9.32
20210806,006201,4,30,392821,3.28
20210806,006201,5,26,487000,4.07
20210806,006201,6,14,393001,3.28
20210806,006201,7,6,208000,1.74
20210806,006201,8,4,197000,1.64
20210806,006201,9,4,262992,2.20
20210806,006201,10,3,390000,3.26
20210806,006201,11,3,813145,6.80
20210806,006201,12,1,410000,3.43
20210806,006201,13,0,0,0.00
20210806,006201,14,1,928000,7.76
20210806,006201,15,1,4622000,38.69
20210806,006201,16,0,0,0.00
20210806,006201,17,1207,11946000,100.00
20210806,006203,1,222,39261,0.36
20210806,006203,2,202,321739,3.00
20210806,006203,3,7,56000,0.52
20210806,006203,4,3,37000,0.34
20210806,006203,5,3,55000,0.51
20210806,006203,6,2,47000,0.43
20210806,006203,7,3,106000,0.98
20210806,006203,8,1,41000,0.38
20210806,006203,9,0,0,0.00
20210806,006203,10,0,0,0.00
20210806,006203,11,2,600000,5.59
20210806,006203,12,2,915000,8.53
20210806,006203,13,0,0,0.00
20210806,006203,14,0,0,0.00
20210806,006203,15,2,8500000,79.30
20210806,006203,16,0,0,0.00
20210806,006203,17,449,10718000,100.00
20210806,006204,1,538,51954,3.46
20210806,006204,2,134,237116,15.80
20210806,006204,3,7,59992,3.99
20210806,006204,4,0,0,0.00
20210806,006204,5,1,20000,1.33
20210806,006204,6,1,30000,2.00
20210806,006204,7,0,0,0.00
20210806,006204,8,0,0,0.00
20210806,006204,9,2,162000,10.80
20210806,006204,10,1,134000,8.93
20210806,006204,11,0,0,0.00
20210806,006204,12,0,0,0.00
20210806,006204,13,0,0,0.00
20210806,006204,14,1,804938,53.66
20210806,006204,15,0,0,0.00
20210806,006204,16,0,0,0.00
20210806,006204,17,685,1500000,100.00
20210806,006205,1,5451,1995749,1.32
20210806,006205,2,7078,16123184,10.68
20210806,006205,3,1309,10123035,6.71
20210806,006205,4,417,5380640,3.56
20210806,006205,5,284,5233576,3.46
20210806,006205,6,231,5969274,3.95
20210806,006205,7,109,3912838,2.59
20210806,006205,8,70,3278855,2.17
20210806,006205,9,146,10666037,7.07
20210806,006205,10,60,8592208,5.69
20210806,006205,11,22,6681982,4.42
20210806,006205,12,10,4804213,3.18
20210806,006205,13,7,4865000,3.22
20210806,006205,14,3,2775000,1.83
20210806,006205,15,17,60444409,40.07
20210806,006205,16,0,0,0.00
20210806,006205,17,15214,150846000,100.00
20210806,006206,1,1112,384592,0.95
20210806,006206,2,2535,5747581,14.26
20210806,006206,3,520,4176144,10.36
20210806,006206,4,179,2325515,5.77
20210806,006206,5,123,2285162,5.67
20210806,006206,6,121,3158494,7.84
20210806,006206,7,50,1813494,4.50
20210806,006206,8,39,1860587,4.61
20210806,006206,9,61,4497755,11.16
20210806,006206,10,19,2694497,6.68
20210806,006206,11,8,2552655,6.33
20210806,006206,12,1,527000,1.30
20210806,006206,13,2,1488524,3.69
20210806,006206,14,0,0,0.00
20210806,006206,15,2,6766000,16.79
20210806,006206,16,0,0,0.00
20210806,006206,17,4772,40278000,100.00
20210806,006207,1,157,42561,0.10
20210806,006207,2,1225,2895004,6.82
20210806,006207,3,277,2268687,5.35
20210806,006207,4,97,1243842,2.93
20210806,006207,5,95,1763246,4.15
20210806,006207,6,81,2134000,5.03
20210806,006207,7,41,1497008,3.53
20210806,006207,8,32,1498000,3.53
20210806,006207,9,72,5206558,12.28
20210806,006207,10,38,5332000,12.57
20210806,006207,11,20,6014647,14.18
20210806,006207,12,3,1571447,3.70
20210806,006207,13,0,0,0.00
20210806,006207,14,0,0,0.00
20210806,006207,15,6,10925000,25.77
20210806,006207,16,0,0,0.00
20210806,006207,17,2144,42392000,100.00
20210806,006208,1,59530,17110651,9.32
20210806,006208,2,36496,69550666,37.89
20210806,006208,3,3429,24779164,13.50
