資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20210903,0050,1,200678,44363416,3.28
20210903,0050,2,104102,195938640,14.51
20210903,0050,3,9924,74420345,5.51
20210903,0050,4,2757,34713273,2.57
20210903,0050,5,1415,25504994,1.88
20210903,0050,6,1178,29374406,2.17
20210903,0050,7,473,16656381,1.23
20210903,0050,8,246,11311627,0.83
20210903,0050,9,464,32471051,2.40
20210903,0050,10,169,23944763,1.77
20210903,0050,11,69,19408822,1.43
20210903,0050,12,23,11146258,0.82
20210903,0050,13,8,5750000,0.42
20210903,0050,14,11,9996616,0.74
20210903,0050,15,62,814499408,60.35
20210903,0050,16,0,0,0.00
20210903,0050,17,321579,1349500000,100.00
20210903,0051,1,1355,244675,2.33
20210903,0051,2,2085,3779159,35.99
20210903,0051,3,154,1208726,11.51
20210903,0051,4,44,553174,5.26
20210903,0051,5,32,595060,5.66
20210903,0051,6,16,414150,3.94
20210903,0051,7,12,407035,3.87
20210903,0051,8,4,194021,1.84
20210903,0051,9,9,650000,6.19
20210903,0051,10,5,614000,5.84
20210903,0051,11,0,0,0.00
20210903,0051,12,1,421000,4.00
20210903,0051,13,2,1419000,13.51
20210903,0051,14,0,0,0.00
20210903,0051,15,0,0,0.00
20210903,0051,16,0,0,0.00
20210903,0051,17,3719,10500000,100.00
20210903,0052,1,9981,2206088,4.01
20210903,0052,2,5848,10681222,19.42
20210903,0052,3,431,3286342,5.97
20210903,0052,4,106,1348211,2.45
20210903,0052,5,45,826100,1.50
20210903,0052,6,40,977581,1.77
20210903,0052,7,14,491948,0.89
20210903,0052,8,7,328000,0.59
20210903,0052,9,11,749000,1.36
20210903,0052,10,6,733362,1.33
20210903,0052,11,4,1046000,1.90
20210903,0052,12,5,2157000,3.92
20210903,0052,13,1,657408,1.19
20210903,0052,14,2,1747000,3.17
20210903,0052,15,8,27764738,50.48
20210903,0052,16,0,0,0.00
20210903,0052,17,16509,55000000,100.00
20210903,0053,1,371,57293,1.14
20210903,0053,2,755,1435404,28.77
20210903,0053,3,80,684000,13.71
20210903,0053,4,13,169000,3.38
20210903,0053,5,17,329000,6.59
20210903,0053,6,5,129000,2.58
20210903,0053,7,2,72000,1.44
20210903,0053,8,4,196303,3.93
20210903,0053,9,3,170000,3.40
20210903,0053,10,2,236000,4.73
20210903,0053,11,1,319000,6.39
20210903,0053,12,0,0,0.00
20210903,0053,13,0,0,0.00
20210903,0053,14,0,0,0.00
20210903,0053,15,1,1191000,23.87
20210903,0053,16,0,0,0.00
20210903,0053,17,1254,4988000,100.00
20210903,0054,1,234,41934,0.63
20210903,0054,2,671,1343014,20.27
20210903,0054,3,97,825052,12.45
20210903,0054,4,35,479000,7.23
20210903,0054,5,23,450000,6.79
20210903,0054,6,7,177000,2.67
20210903,0054,7,9,343000,5.17
20210903,0054,8,5,236000,3.56
20210903,0054,9,3,246000,3.71
20210903,0054,10,3,380000,5.73
20210903,0054,11,1,308000,4.64
20210903,0054,12,0,0,0.00
20210903,0054,13,0,0,0.00
20210903,0054,14,0,0,0.00
20210903,0054,15,1,1795000,27.09
20210903,0054,16,0,0,0.00
20210903,0054,17,1089,6624000,100.00
20210903,0055,1,900,210568,0.59
20210903,0055,2,3201,6568370,18.42
20210903,0055,3,498,4178097,11.71
20210903,0055,4,129,1710000,4.79
20210903,0055,5,118,2239890,6.28
20210903,0055,6,75,2000000,5.60
20210903,0055,7,37,1329000,3.72
20210903,0055,8,22,1069525,2.99
20210903,0055,9,35,2545000,7.13
20210903,0055,10,16,2162000,6.06
20210903,0055,11,6,1712000,4.80
20210903,0055,12,2,1003550,2.81
