資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20210702,0050,1,187149,39637842,2.86
20210702,0050,2,102577,192005487,13.87
20210702,0050,3,9547,71919103,5.19
20210702,0050,4,2623,33082321,2.39
20210702,0050,5,1386,25115425,1.81
20210702,0050,6,1107,27670573,1.99
20210702,0050,7,436,15279172,1.10
20210702,0050,8,249,11462674,0.82
20210702,0050,9,447,31391258,2.26
20210702,0050,10,160,22453156,1.62
20210702,0050,11,68,18709959,1.35
20210702,0050,12,23,11043350,0.79
20210702,0050,13,6,4451000,0.32
20210702,0050,14,10,9029000,0.65
20210702,0050,15,63,870749680,62.91
20210702,0050,16,0,0,0.00
20210702,0050,17,305851,1384000000,100.00
20210702,0051,1,1054,196261,1.86
20210702,0051,2,1882,3440102,32.76
20210702,0051,3,149,1174775,11.18
20210702,0051,4,41,512174,4.87
20210702,0051,5,31,577868,5.50
20210702,0051,6,14,345150,3.28
20210702,0051,7,10,336688,3.20
20210702,0051,8,3,148000,1.40
20210702,0051,9,9,631000,6.00
20210702,0051,10,4,497000,4.73
20210702,0051,11,3,766982,7.30
20210702,0051,12,1,438000,4.17
20210702,0051,13,2,1436000,13.67
20210702,0051,14,0,0,0.00
20210702,0051,15,0,0,0.00
20210702,0051,16,0,0,0.00
20210702,0051,17,3203,10500000,100.00
20210702,0052,1,10820,2227096,4.12
20210702,0052,2,6636,12131934,22.46
20210702,0052,3,490,3728410,6.90
20210702,0052,4,133,1714010,3.17
20210702,0052,5,57,1057867,1.95
20210702,0052,6,40,989804,1.83
20210702,0052,7,16,571655,1.05
20210702,0052,8,9,423000,0.78
20210702,0052,9,19,1364348,2.52
20210702,0052,10,8,1081000,2.00
20210702,0052,11,4,1155000,2.13
20210702,0052,12,4,1883000,3.48
20210702,0052,13,4,2653876,4.91
20210702,0052,14,2,1617000,2.99
20210702,0052,15,6,21402000,39.63
20210702,0052,16,0,0,0.00
20210702,0052,17,18248,54000000,100.00
20210702,0053,1,370,55494,1.01
20210702,0053,2,783,1480132,26.97
20210702,0053,3,88,756000,13.77
20210702,0053,4,14,187000,3.40
20210702,0053,5,18,349000,6.35
20210702,0053,6,4,102000,1.85
20210702,0053,7,2,72000,1.31
20210702,0053,8,4,199000,3.62
20210702,0053,9,2,121000,2.20
20210702,0053,10,1,114000,2.07
20210702,0053,11,3,861374,15.69
20210702,0053,12,0,0,0.00
20210702,0053,13,0,0,0.00
20210702,0053,14,0,0,0.00
20210702,0053,15,1,1191000,21.70
20210702,0053,16,0,0,0.00
20210702,0053,17,1290,5488000,100.00
20210702,0054,1,214,36279,0.50
20210702,0054,2,679,1355289,19.02
20210702,0054,3,102,871432,12.23
20210702,0054,4,36,489000,6.86
20210702,0054,5,27,526000,7.38
20210702,0054,6,6,147000,2.06
20210702,0054,7,11,408000,5.72
20210702,0054,8,4,192000,2.69
20210702,0054,9,4,298000,4.18
20210702,0054,10,2,264000,3.70
20210702,0054,11,2,674000,9.46
20210702,0054,12,0,0,0.00
20210702,0054,13,0,0,0.00
20210702,0054,14,0,0,0.00
20210702,0054,15,1,1863000,26.15
20210702,0054,16,0,0,0.00
20210702,0054,17,1088,7124000,100.00
20210702,0055,1,677,157861,0.41
20210702,0055,2,2961,6165283,16.37
20210702,0055,3,493,4173709,11.08
20210702,0055,4,135,1793200,4.76
20210702,0055,5,119,2261712,6.00
20210702,0055,6,75,2026000,5.38
20210702,0055,7,38,1362000,3.61
